year,pilgrims,source_id
1986,1395832,smvdsb_yatra_statistics_matrix
1987,1857935,smvdsb_yatra_statistics_matrix
1988,1992605,smvdsb_yatra_statistics_matrix
1989,2312011,smvdsb_yatra_statistics_matrix
1990,2169093,smvdsb_yatra_statistics_matrix
1991,3115447,smvdsb_yatra_statistics_matrix
1992,3516267,smvdsb_yatra_statistics_matrix
1993,3368665,smvdsb_yatra_statistics_matrix
1994,3704944,smvdsb_yatra_statistics_matrix
1995,4011627,smvdsb_yatra_statistics_matrix
1996,4335432,smvdsb_yatra_statistics_matrix
1997,4434233,smvdsb_yatra_statistics_matrix
1998,4622297,smvdsb_yatra_statistics_matrix
1999,4670454,smvdsb_yatra_statistics_matrix
2000,5217715,smvdsb_yatra_statistics_matrix
2001,5056919,smvdsb_yatra_statistics_matrix
2002,4432178,smvdsb_yatra_statistics_matrix
2003,5400296,smvdsb_yatra_statistics_matrix
2004,6109895,smvdsb_yatra_statistics_matrix
2005,6251998,smvdsb_yatra_statistics_matrix
2006,6950573,smvdsb_yatra_statistics_matrix
2007,7417619,smvdsb_yatra_statistics_matrix
2008,6792223,smvdsb_yatra_statistics_matrix
2009,8234896,smvdsb_yatra_statistics_matrix
2010,8749326,smvdsb_yatra_statistics_matrix
2011,10115647,smvdsb_yatra_statistics_matrix
2012,10495269,smvdsb_yatra_statistics_matrix
2013,9323647,smvdsb_yatra_statistics_matrix
2014,7803193,smvdsb_yatra_statistics_matrix
2015,7776604,smvdsb_yatra_statistics_matrix
2016,7723721,smvdsb_yatra_statistics_matrix
2017,8178318,smvdsb_yatra_statistics_matrix
2018,8586541,smvdsb_yatra_statistics_matrix
2019,7940064,smvdsb_yatra_statistics_matrix
2020,1720357,smvdsb_yatra_statistics_matrix
2021,5588174,smvdsb_yatra_statistics_matrix
2022,9124970,smvdsb_yatra_statistics_matrix
2023,9522225,smvdsb_yatra_statistics_matrix
2024,9484182,smvdsb_yatra_statistics_matrix
2025,6978806,smvdsb_yatra_statistics_matrix
