month,pilgrims,source_id
1986-01,21906,smvdsb_yatra_statistics_matrix
1986-02,25449,smvdsb_yatra_statistics_matrix
1986-03,68496,smvdsb_yatra_statistics_matrix
1986-04,109604,smvdsb_yatra_statistics_matrix
1986-05,159989,smvdsb_yatra_statistics_matrix
1986-06,193690,smvdsb_yatra_statistics_matrix
1986-07,131497,smvdsb_yatra_statistics_matrix
1986-08,140681,smvdsb_yatra_statistics_matrix
1986-09,149424,smvdsb_yatra_statistics_matrix
1986-10,189882,smvdsb_yatra_statistics_matrix
1986-11,149841,smvdsb_yatra_statistics_matrix
1986-12,55373,smvdsb_yatra_statistics_matrix
1987-01,37921,smvdsb_yatra_statistics_matrix
1987-02,50771,smvdsb_yatra_statistics_matrix
1987-03,140252,smvdsb_yatra_statistics_matrix
1987-04,185788,smvdsb_yatra_statistics_matrix
1987-05,181114,smvdsb_yatra_statistics_matrix
1987-06,217485,smvdsb_yatra_statistics_matrix
1987-07,169298,smvdsb_yatra_statistics_matrix
1987-08,183747,smvdsb_yatra_statistics_matrix
1987-09,192578,smvdsb_yatra_statistics_matrix
1987-10,217612,smvdsb_yatra_statistics_matrix
1987-11,154276,smvdsb_yatra_statistics_matrix
1987-12,127093,smvdsb_yatra_statistics_matrix
1988-01,70989,smvdsb_yatra_statistics_matrix
1988-02,72590,smvdsb_yatra_statistics_matrix
1988-03,156453,smvdsb_yatra_statistics_matrix
1988-04,213464,smvdsb_yatra_statistics_matrix
1988-05,227675,smvdsb_yatra_statistics_matrix
1988-06,233920,smvdsb_yatra_statistics_matrix
1988-07,170577,smvdsb_yatra_statistics_matrix
1988-08,193482,smvdsb_yatra_statistics_matrix
1988-09,173591,smvdsb_yatra_statistics_matrix
1988-10,176272,smvdsb_yatra_statistics_matrix
1988-11,171044,smvdsb_yatra_statistics_matrix
1988-12,132548,smvdsb_yatra_statistics_matrix
1989-01,45850,smvdsb_yatra_statistics_matrix
1989-02,56964,smvdsb_yatra_statistics_matrix
1989-03,162093,smvdsb_yatra_statistics_matrix
1989-04,225857,smvdsb_yatra_statistics_matrix
1989-05,226105,smvdsb_yatra_statistics_matrix
1989-06,271601,smvdsb_yatra_statistics_matrix
1989-07,233889,smvdsb_yatra_statistics_matrix
1989-08,249165,smvdsb_yatra_statistics_matrix
1989-09,211617,smvdsb_yatra_statistics_matrix
1989-10,262727,smvdsb_yatra_statistics_matrix
1989-11,214908,smvdsb_yatra_statistics_matrix
1989-12,151235,smvdsb_yatra_statistics_matrix
1990-01,75340,smvdsb_yatra_statistics_matrix
1990-02,71845,smvdsb_yatra_statistics_matrix
1990-03,168756,smvdsb_yatra_statistics_matrix
1990-04,212610,smvdsb_yatra_statistics_matrix
1990-05,212939,smvdsb_yatra_statistics_matrix
1990-06,311561,smvdsb_yatra_statistics_matrix
1990-07,255573,smvdsb_yatra_statistics_matrix
1990-08,229013,smvdsb_yatra_statistics_matrix
1990-09,195048,smvdsb_yatra_statistics_matrix
1990-10,143080,smvdsb_yatra_statistics_matrix
1990-11,148345,smvdsb_yatra_statistics_matrix
1990-12,144983,smvdsb_yatra_statistics_matrix
1991-01,69467,smvdsb_yatra_statistics_matrix
1991-02,90380,smvdsb_yatra_statistics_matrix
1991-03,213884,smvdsb_yatra_statistics_matrix
1991-04,315013,smvdsb_yatra_statistics_matrix
1991-05,279413,smvdsb_yatra_statistics_matrix
1991-06,347570,smvdsb_yatra_statistics_matrix
1991-07,294956,smvdsb_yatra_statistics_matrix
1991-08,326351,smvdsb_yatra_statistics_matrix
1991-09,326168,smvdsb_yatra_statistics_matrix
1991-10,360654,smvdsb_yatra_statistics_matrix
1991-11,262722,smvdsb_yatra_statistics_matrix
1991-12,228869,smvdsb_yatra_statistics_matrix
1992-01,119336,smvdsb_yatra_statistics_matrix
1992-02,68328,smvdsb_yatra_statistics_matrix
1992-03,245120,smvdsb_yatra_statistics_matrix
1992-04,327690,smvdsb_yatra_statistics_matrix
1992-05,400724,smvdsb_yatra_statistics_matrix
1992-06,527684,smvdsb_yatra_statistics_matrix
1992-07,351678,smvdsb_yatra_statistics_matrix
1992-08,365492,smvdsb_yatra_statistics_matrix
1992-09,308067,smvdsb_yatra_statistics_matrix
1992-10,356618,smvdsb_yatra_statistics_matrix
1992-11,247815,smvdsb_yatra_statistics_matrix
1992-12,197715,smvdsb_yatra_statistics_matrix
1993-01,106236,smvdsb_yatra_statistics_matrix
1993-02,97956,smvdsb_yatra_statistics_matrix
1993-03,239519,smvdsb_yatra_statistics_matrix
1993-04,343186,smvdsb_yatra_statistics_matrix
1993-05,364948,smvdsb_yatra_statistics_matrix
1993-06,520146,smvdsb_yatra_statistics_matrix
1993-07,253769,smvdsb_yatra_statistics_matrix
1993-08,263602,smvdsb_yatra_statistics_matrix
1993-09,294431,smvdsb_yatra_statistics_matrix
1993-10,387861,smvdsb_yatra_statistics_matrix
1993-11,238242,smvdsb_yatra_statistics_matrix
1993-12,258769,smvdsb_yatra_statistics_matrix
1994-01,159293,smvdsb_yatra_statistics_matrix
1994-02,92649,smvdsb_yatra_statistics_matrix
1994-03,263053,smvdsb_yatra_statistics_matrix
1994-04,354573,smvdsb_yatra_statistics_matrix
1994-05,415323,smvdsb_yatra_statistics_matrix
1994-06,519278,smvdsb_yatra_statistics_matrix
1994-07,327294,smvdsb_yatra_statistics_matrix
1994-08,328993,smvdsb_yatra_statistics_matrix
1994-09,291999,smvdsb_yatra_statistics_matrix
1994-10,377394,smvdsb_yatra_statistics_matrix
1994-11,324027,smvdsb_yatra_statistics_matrix
1994-12,251068,smvdsb_yatra_statistics_matrix
1995-01,107563,smvdsb_yatra_statistics_matrix
1995-02,89840,smvdsb_yatra_statistics_matrix
1995-03,283962,smvdsb_yatra_statistics_matrix
1995-04,408610,smvdsb_yatra_statistics_matrix
1995-05,421048,smvdsb_yatra_statistics_matrix
1995-06,602198,smvdsb_yatra_statistics_matrix
1995-07,401718,smvdsb_yatra_statistics_matrix
1995-08,379936,smvdsb_yatra_statistics_matrix
1995-09,314651,smvdsb_yatra_statistics_matrix
1995-10,414055,smvdsb_yatra_statistics_matrix
1995-11,290374,smvdsb_yatra_statistics_matrix
1995-12,297672,smvdsb_yatra_statistics_matrix
1996-01,166958,smvdsb_yatra_statistics_matrix
1996-02,126209,smvdsb_yatra_statistics_matrix
1996-03,378326,smvdsb_yatra_statistics_matrix
1996-04,431689,smvdsb_yatra_statistics_matrix
1996-05,465033,smvdsb_yatra_statistics_matrix
1996-06,658538,smvdsb_yatra_statistics_matrix
1996-07,415325,smvdsb_yatra_statistics_matrix
1996-08,396492,smvdsb_yatra_statistics_matrix
1996-09,298788,smvdsb_yatra_statistics_matrix
1996-10,419933,smvdsb_yatra_statistics_matrix
1996-11,323835,smvdsb_yatra_statistics_matrix
1996-12,254306,smvdsb_yatra_statistics_matrix
1997-01,161515,smvdsb_yatra_statistics_matrix
1997-02,126705,smvdsb_yatra_statistics_matrix
1997-03,361928,smvdsb_yatra_statistics_matrix
1997-04,473706,smvdsb_yatra_statistics_matrix
1997-05,471650,smvdsb_yatra_statistics_matrix
1997-06,603805,smvdsb_yatra_statistics_matrix
1997-07,443089,smvdsb_yatra_statistics_matrix
1997-08,429224,smvdsb_yatra_statistics_matrix
1997-09,349899,smvdsb_yatra_statistics_matrix
1997-10,437972,smvdsb_yatra_statistics_matrix
1997-11,342296,smvdsb_yatra_statistics_matrix
1997-12,232444,smvdsb_yatra_statistics_matrix
1998-01,159456,smvdsb_yatra_statistics_matrix
1998-02,153551,smvdsb_yatra_statistics_matrix
1998-03,316678,smvdsb_yatra_statistics_matrix
1998-04,422739,smvdsb_yatra_statistics_matrix
1998-05,486250,smvdsb_yatra_statistics_matrix
1998-06,552672,smvdsb_yatra_statistics_matrix
1998-07,488675,smvdsb_yatra_statistics_matrix
1998-08,469961,smvdsb_yatra_statistics_matrix
1998-09,427984,smvdsb_yatra_statistics_matrix
1998-10,486898,smvdsb_yatra_statistics_matrix
1998-11,363350,smvdsb_yatra_statistics_matrix
1998-12,294083,smvdsb_yatra_statistics_matrix
1999-01,180723,smvdsb_yatra_statistics_matrix
1999-02,176700,smvdsb_yatra_statistics_matrix
1999-03,419580,smvdsb_yatra_statistics_matrix
1999-04,443017,smvdsb_yatra_statistics_matrix
1999-05,521593,smvdsb_yatra_statistics_matrix
1999-06,510210,smvdsb_yatra_statistics_matrix
1999-07,292094,smvdsb_yatra_statistics_matrix
1999-08,427062,smvdsb_yatra_statistics_matrix
1999-09,403781,smvdsb_yatra_statistics_matrix
1999-10,525161,smvdsb_yatra_statistics_matrix
1999-11,418832,smvdsb_yatra_statistics_matrix
1999-12,351701,smvdsb_yatra_statistics_matrix
2000-01,192125,smvdsb_yatra_statistics_matrix
2000-02,147109,smvdsb_yatra_statistics_matrix
2000-03,348452,smvdsb_yatra_statistics_matrix
2000-04,471786,smvdsb_yatra_statistics_matrix
2000-05,628462,smvdsb_yatra_statistics_matrix
2000-06,667655,smvdsb_yatra_statistics_matrix
2000-07,554769,smvdsb_yatra_statistics_matrix
2000-08,425484,smvdsb_yatra_statistics_matrix
2000-09,416945,smvdsb_yatra_statistics_matrix
2000-10,558817,smvdsb_yatra_statistics_matrix
2000-11,419628,smvdsb_yatra_statistics_matrix
2000-12,386483,smvdsb_yatra_statistics_matrix
2001-01,222836,smvdsb_yatra_statistics_matrix
2001-02,174481,smvdsb_yatra_statistics_matrix
2001-03,436844,smvdsb_yatra_statistics_matrix
2001-04,511081,smvdsb_yatra_statistics_matrix
2001-05,570885,smvdsb_yatra_statistics_matrix
2001-06,704657,smvdsb_yatra_statistics_matrix
2001-07,623154,smvdsb_yatra_statistics_matrix
2001-08,382668,smvdsb_yatra_statistics_matrix
2001-09,347934,smvdsb_yatra_statistics_matrix
2001-10,443153,smvdsb_yatra_statistics_matrix
2001-11,312253,smvdsb_yatra_statistics_matrix
2001-12,326973,smvdsb_yatra_statistics_matrix
2002-01,171558,smvdsb_yatra_statistics_matrix
2002-02,136597,smvdsb_yatra_statistics_matrix
2002-03,327223,smvdsb_yatra_statistics_matrix
2002-04,418393,smvdsb_yatra_statistics_matrix
2002-05,407950,smvdsb_yatra_statistics_matrix
2002-06,466899,smvdsb_yatra_statistics_matrix
2002-07,442955,smvdsb_yatra_statistics_matrix
2002-08,517371,smvdsb_yatra_statistics_matrix
2002-09,379714,smvdsb_yatra_statistics_matrix
2002-10,448069,smvdsb_yatra_statistics_matrix
2002-11,361868,smvdsb_yatra_statistics_matrix
2002-12,353581,smvdsb_yatra_statistics_matrix
2003-01,175320,smvdsb_yatra_statistics_matrix
2003-02,161737,smvdsb_yatra_statistics_matrix
2003-03,389687,smvdsb_yatra_statistics_matrix
2003-04,472299,smvdsb_yatra_statistics_matrix
2003-05,573170,smvdsb_yatra_statistics_matrix
2003-06,741605,smvdsb_yatra_statistics_matrix
2003-07,586908,smvdsb_yatra_statistics_matrix
2003-08,541015,smvdsb_yatra_statistics_matrix
2003-09,485573,smvdsb_yatra_statistics_matrix
2003-10,522923,smvdsb_yatra_statistics_matrix
2003-11,380266,smvdsb_yatra_statistics_matrix
2003-12,369793,smvdsb_yatra_statistics_matrix
2004-01,224956,smvdsb_yatra_statistics_matrix
2004-02,208310,smvdsb_yatra_statistics_matrix
2004-03,503879,smvdsb_yatra_statistics_matrix
2004-04,499458,smvdsb_yatra_statistics_matrix
2004-05,689195,smvdsb_yatra_statistics_matrix
2004-06,789238,smvdsb_yatra_statistics_matrix
2004-07,644247,smvdsb_yatra_statistics_matrix
2004-08,552858,smvdsb_yatra_statistics_matrix
2004-09,519832,smvdsb_yatra_statistics_matrix
2004-10,634788,smvdsb_yatra_statistics_matrix
2004-11,434865,smvdsb_yatra_statistics_matrix
2004-12,408269,smvdsb_yatra_statistics_matrix
2005-01,248358,smvdsb_yatra_statistics_matrix
2005-02,153727,smvdsb_yatra_statistics_matrix
2005-03,424132,smvdsb_yatra_statistics_matrix
2005-04,561782,smvdsb_yatra_statistics_matrix
2005-05,651638,smvdsb_yatra_statistics_matrix
2005-06,857030,smvdsb_yatra_statistics_matrix
2005-07,672044,smvdsb_yatra_statistics_matrix
2005-08,630838,smvdsb_yatra_statistics_matrix
2005-09,536619,smvdsb_yatra_statistics_matrix
2005-10,641995,smvdsb_yatra_statistics_matrix
2005-11,474556,smvdsb_yatra_statistics_matrix
2005-12,399279,smvdsb_yatra_statistics_matrix
2006-01,263887,smvdsb_yatra_statistics_matrix
2006-02,255251,smvdsb_yatra_statistics_matrix
2006-03,555042,smvdsb_yatra_statistics_matrix
2006-04,646441,smvdsb_yatra_statistics_matrix
2006-05,731741,smvdsb_yatra_statistics_matrix
2006-06,956368,smvdsb_yatra_statistics_matrix
2006-07,717573,smvdsb_yatra_statistics_matrix
2006-08,629734,smvdsb_yatra_statistics_matrix
2006-09,620112,smvdsb_yatra_statistics_matrix
2006-10,646372,smvdsb_yatra_statistics_matrix
2006-11,468201,smvdsb_yatra_statistics_matrix
2006-12,459851,smvdsb_yatra_statistics_matrix
2007-01,292640,smvdsb_yatra_statistics_matrix
2007-02,254674,smvdsb_yatra_statistics_matrix
2007-03,489300,smvdsb_yatra_statistics_matrix
2007-04,584059,smvdsb_yatra_statistics_matrix
2007-05,799079,smvdsb_yatra_statistics_matrix
2007-06,956768,smvdsb_yatra_statistics_matrix
2007-07,715259,smvdsb_yatra_statistics_matrix
2007-08,703840,smvdsb_yatra_statistics_matrix
2007-09,756395,smvdsb_yatra_statistics_matrix
2007-10,771337,smvdsb_yatra_statistics_matrix
2007-11,562607,smvdsb_yatra_statistics_matrix
2007-12,531661,smvdsb_yatra_statistics_matrix
2008-01,340303,smvdsb_yatra_statistics_matrix
2008-02,225438,smvdsb_yatra_statistics_matrix
2008-03,618236,smvdsb_yatra_statistics_matrix
2008-04,623841,smvdsb_yatra_statistics_matrix
2008-05,965950,smvdsb_yatra_statistics_matrix
2008-06,1118065,smvdsb_yatra_statistics_matrix
2008-07,531129,smvdsb_yatra_statistics_matrix
2008-08,271544,smvdsb_yatra_statistics_matrix
2008-09,424838,smvdsb_yatra_statistics_matrix
2008-10,656554,smvdsb_yatra_statistics_matrix
2008-11,506566,smvdsb_yatra_statistics_matrix
2008-12,509759,smvdsb_yatra_statistics_matrix
2009-01,414460,smvdsb_yatra_statistics_matrix
2009-02,297842,smvdsb_yatra_statistics_matrix
2009-03,673820,smvdsb_yatra_statistics_matrix
2009-04,699031,smvdsb_yatra_statistics_matrix
2009-05,815642,smvdsb_yatra_statistics_matrix
2009-06,1013556,smvdsb_yatra_statistics_matrix
2009-07,909676,smvdsb_yatra_statistics_matrix
2009-08,825311,smvdsb_yatra_statistics_matrix
2009-09,783217,smvdsb_yatra_statistics_matrix
2009-10,764386,smvdsb_yatra_statistics_matrix
2009-11,475069,smvdsb_yatra_statistics_matrix
2009-12,562886,smvdsb_yatra_statistics_matrix
2010-01,399665,smvdsb_yatra_statistics_matrix
2010-02,377217,smvdsb_yatra_statistics_matrix
2010-03,722209,smvdsb_yatra_statistics_matrix
2010-04,878378,smvdsb_yatra_statistics_matrix
2010-05,914522,smvdsb_yatra_statistics_matrix
2010-06,966295,smvdsb_yatra_statistics_matrix
2010-07,870615,smvdsb_yatra_statistics_matrix
2010-08,829912,smvdsb_yatra_statistics_matrix
2010-09,628698,smvdsb_yatra_statistics_matrix
2010-10,814617,smvdsb_yatra_statistics_matrix
2010-11,664425,smvdsb_yatra_statistics_matrix
2010-12,682773,smvdsb_yatra_statistics_matrix
2011-01,421231,smvdsb_yatra_statistics_matrix
2011-02,369755,smvdsb_yatra_statistics_matrix
2011-03,755799,smvdsb_yatra_statistics_matrix
2011-04,1032316,smvdsb_yatra_statistics_matrix
2011-05,937275,smvdsb_yatra_statistics_matrix
2011-06,1207688,smvdsb_yatra_statistics_matrix
2011-07,1175759,smvdsb_yatra_statistics_matrix
2011-08,1050725,smvdsb_yatra_statistics_matrix
