statistic,model,opponent,regime,point,lo,hi,n_usable,n_resamples,block_origins,confidence,seed
mean_mase,drift,,clean,4.209223499159057,3.903328917190829,4.518338063059259,2000,2000,12,0.95,20260818
mean_mase,drift,,shock,3.119154310901785,2.342332054400865,3.969138393414458,1996,2000,12,0.95,20260818
mean_mase,holt_winters_add,,clean,1.4356904883403003,1.2580532240054378,1.6339731738738559,2000,2000,12,0.95,20260818
mean_mase,holt_winters_add,,shock,5.467116603403046,2.5382397953428275,7.126716894017232,1996,2000,12,0.95,20260818
mean_mase,naive,,clean,4.166511341946932,3.861682154864879,4.475541963178822,2000,2000,12,0.95,20260818
mean_mase,naive,,shock,3.1027266791511545,2.3341241239759847,3.9265501152183937,1996,2000,12,0.95,20260818
mean_mase,sarima,,clean,1.3761760581914544,1.1854327399292985,1.5817425226370925,2000,2000,12,0.95,20260818
mean_mase,sarima,,shock,4.1959153663661715,2.3897897224633264,5.937524531872987,1996,2000,12,0.95,20260818
mean_mase,sarimax_cal,,clean,1.3593471995833966,1.16942621665703,1.5751638852327678,2000,2000,12,0.95,20260818
mean_mase,sarimax_cal,,shock,4.23427950231445,2.348561384974697,5.973274374222896,1996,2000,12,0.95,20260818
mean_mase,seasonal_naive,,clean,1.5290129303015798,1.2831259122043663,1.8030082346616576,2000,2000,12,0.95,20260818
mean_mase,seasonal_naive,,shock,5.206923390202287,2.8317584238418423,7.290461382461253,1996,2000,12,0.95,20260818
mean_mase,switching,,clean,1.440311204171968,1.2674165186434327,1.6293088384309788,2000,2000,12,0.95,20260818
mean_mase,switching,,shock,5.370029657484778,2.430773149894862,7.267720164805625,1996,2000,12,0.95,20260818
mean_mase,switching_sticky,,clean,1.5218806521439217,1.3263221010541613,1.7415563864431636,2000,2000,12,0.95,20260818
mean_mase,switching_sticky,,shock,5.1506245500289225,2.3288600604571412,7.030407865466555,1996,2000,12,0.95,20260818
mean_mase,theta,,clean,1.9688364589713374,1.7231163053518421,2.2114860312290645,2000,2000,12,0.95,20260818
mean_mase,theta,,shock,4.421122274925344,2.6188786330552354,5.528442730796426,1996,2000,12,0.95,20260818
rank_correlation,,,clean_vs_shock,-0.38333333333333336,-0.7166666666666667,0.7833333333333333,1996,2000,12,0.95,20260818
p_inversion,,,clean_vs_shock,0.9038076152304609,,,1996,2000,12,0.95,20260818
p_beats,drift,holt_winters_add,clean,0.0,,,2000,2000,12,0.95,20260818
p_beats,drift,naive,clean,0.0,,,2000,2000,12,0.95,20260818
p_beats,drift,sarima,clean,0.0,,,2000,2000,12,0.95,20260818
p_beats,drift,sarimax_cal,clean,0.0,,,2000,2000,12,0.95,20260818
p_beats,drift,seasonal_naive,clean,0.0,,,2000,2000,12,0.95,20260818
p_beats,drift,switching,clean,0.0,,,2000,2000,12,0.95,20260818
p_beats,drift,switching_sticky,clean,0.0,,,2000,2000,12,0.95,20260818
p_beats,drift,theta,clean,0.0,,,2000,2000,12,0.95,20260818
p_beats,holt_winters_add,drift,clean,1.0,,,2000,2000,12,0.95,20260818
p_beats,holt_winters_add,naive,clean,1.0,,,2000,2000,12,0.95,20260818
p_beats,holt_winters_add,sarima,clean,0.1505,,,2000,2000,12,0.95,20260818
p_beats,holt_winters_add,sarimax_cal,clean,0.095,,,2000,2000,12,0.95,20260818
p_beats,holt_winters_add,seasonal_naive,clean,0.885,,,2000,2000,12,0.95,20260818
p_beats,holt_winters_add,switching,clean,0.642,,,2000,2000,12,0.95,20260818
p_beats,holt_winters_add,switching_sticky,clean,0.976,,,2000,2000,12,0.95,20260818
p_beats,holt_winters_add,theta,clean,1.0,,,2000,2000,12,0.95,20260818
p_beats,naive,drift,clean,1.0,,,2000,2000,12,0.95,20260818
p_beats,naive,holt_winters_add,clean,0.0,,,2000,2000,12,0.95,20260818
p_beats,naive,sarima,clean,0.0,,,2000,2000,12,0.95,20260818
p_beats,naive,sarimax_cal,clean,0.0,,,2000,2000,12,0.95,20260818
p_beats,naive,seasonal_naive,clean,0.0,,,2000,2000,12,0.95,20260818
p_beats,naive,switching,clean,0.0,,,2000,2000,12,0.95,20260818
p_beats,naive,switching_sticky,clean,0.0,,,2000,2000,12,0.95,20260818
p_beats,naive,theta,clean,0.0,,,2000,2000,12,0.95,20260818
p_beats,sarima,drift,clean,1.0,,,2000,2000,12,0.95,20260818
p_beats,sarima,holt_winters_add,clean,0.8495,,,2000,2000,12,0.95,20260818
p_beats,sarima,naive,clean,1.0,,,2000,2000,12,0.95,20260818
p_beats,sarima,sarimax_cal,clean,0.164,,,2000,2000,12,0.95,20260818
p_beats,sarima,seasonal_naive,clean,0.993,,,2000,2000,12,0.95,20260818
p_beats,sarima,switching,clean,0.8865,,,2000,2000,12,0.95,20260818
p_beats,sarima,switching_sticky,clean,0.986,,,2000,2000,12,0.95,20260818
p_beats,sarima,theta,clean,1.0,,,2000,2000,12,0.95,20260818
p_beats,sarimax_cal,drift,clean,1.0,,,2000,2000,12,0.95,20260818
p_beats,sarimax_cal,holt_winters_add,clean,0.905,,,2000,2000,12,0.95,20260818
p_beats,sarimax_cal,naive,clean,1.0,,,2000,2000,12,0.95,20260818
p_beats,sarimax_cal,sarima,clean,0.836,,,2000,2000,12,0.95,20260818
p_beats,sarimax_cal,seasonal_naive,clean,0.9965,,,2000,2000,12,0.95,20260818
p_beats,sarimax_cal,switching,clean,0.929,,,2000,2000,12,0.95,20260818
p_beats,sarimax_cal,switching_sticky,clean,0.992,,,2000,2000,12,0.95,20260818
p_beats,sarimax_cal,theta,clean,1.0,,,2000,2000,12,0.95,20260818
p_beats,seasonal_naive,drift,clean,1.0,,,2000,2000,12,0.95,20260818
p_beats,seasonal_naive,holt_winters_add,clean,0.115,,,2000,2000,12,0.95,20260818
p_beats,seasonal_naive,naive,clean,1.0,,,2000,2000,12,0.95,20260818
p_beats,seasonal_naive,sarima,clean,0.007,,,2000,2000,12,0.95,20260818
p_beats,seasonal_naive,sarimax_cal,clean,0.0035,,,2000,2000,12,0.95,20260818
p_beats,seasonal_naive,switching,clean,0.1265,,,2000,2000,12,0.95,20260818
p_beats,seasonal_naive,switching_sticky,clean,0.4935,,,2000,2000,12,0.95,20260818
p_beats,seasonal_naive,theta,clean,0.997,,,2000,2000,12,0.95,20260818
p_beats,switching,drift,clean,1.0,,,2000,2000,12,0.95,20260818
p_beats,switching,holt_winters_add,clean,0.358,,,2000,2000,12,0.95,20260818
p_beats,switching,naive,clean,1.0,,,2000,2000,12,0.95,20260818
p_beats,switching,sarima,clean,0.1135,,,2000,2000,12,0.95,20260818
p_beats,switching,sarimax_cal,clean,0.071,,,2000,2000,12,0.95,20260818
p_beats,switching,seasonal_naive,clean,0.8735,,,2000,2000,12,0.95,20260818
p_beats,switching,switching_sticky,clean,0.993,,,2000,2000,12,0.95,20260818
p_beats,switching,theta,clean,1.0,,,2000,2000,12,0.95,20260818
p_beats,switching_sticky,drift,clean,1.0,,,2000,2000,12,0.95,20260818
p_beats,switching_sticky,holt_winters_add,clean,0.024,,,2000,2000,12,0.95,20260818
p_beats,switching_sticky,naive,clean,1.0,,,2000,2000,12,0.95,20260818
p_beats,switching_sticky,sarima,clean,0.014,,,2000,2000,12,0.95,20260818
p_beats,switching_sticky,sarimax_cal,clean,0.008,,,2000,2000,12,0.95,20260818
p_beats,switching_sticky,seasonal_naive,clean,0.5065,,,2000,2000,12,0.95,20260818
p_beats,switching_sticky,switching,clean,0.007,,,2000,2000,12,0.95,20260818
p_beats,switching_sticky,theta,clean,1.0,,,2000,2000,12,0.95,20260818
p_beats,theta,drift,clean,1.0,,,2000,2000,12,0.95,20260818
p_beats,theta,holt_winters_add,clean,0.0,,,2000,2000,12,0.95,20260818
p_beats,theta,naive,clean,1.0,,,2000,2000,12,0.95,20260818
p_beats,theta,sarima,clean,0.0,,,2000,2000,12,0.95,20260818
p_beats,theta,sarimax_cal,clean,0.0,,,2000,2000,12,0.95,20260818
p_beats,theta,seasonal_naive,clean,0.003,,,2000,2000,12,0.95,20260818
p_beats,theta,switching,clean,0.0,,,2000,2000,12,0.95,20260818
p_beats,theta,switching_sticky,clean,0.0,,,2000,2000,12,0.95,20260818
p_beats,drift,holt_winters_add,shock,0.9338677354709419,,,1996,2000,12,0.95,20260818
p_beats,drift,naive,shock,0.07915831663326653,,,1996,2000,12,0.95,20260818
p_beats,drift,sarima,shock,0.9003006012024048,,,1996,2000,12,0.95,20260818
p_beats,drift,sarimax_cal,shock,0.9003006012024048,,,1996,2000,12,0.95,20260818
p_beats,drift,seasonal_naive,shock,0.9509018036072144,,,1996,2000,12,0.95,20260818
p_beats,drift,switching,shock,0.9233466933867736,,,1996,2000,12,0.95,20260818
p_beats,drift,switching_sticky,shock,0.9163326653306614,,,1996,2000,12,0.95,20260818
p_beats,drift,theta,shock,0.9288577154308617,,,1996,2000,12,0.95,20260818
p_beats,holt_winters_add,drift,shock,0.06613226452905811,,,1996,2000,12,0.95,20260818
p_beats,holt_winters_add,naive,shock,0.06613226452905811,,,1996,2000,12,0.95,20260818
p_beats,holt_winters_add,sarima,shock,0.019539078156312624,,,1996,2000,12,0.95,20260818
p_beats,holt_winters_add,sarimax_cal,shock,0.01753507014028056,,,1996,2000,12,0.95,20260818
p_beats,holt_winters_add,seasonal_naive,shock,0.3076152304609218,,,1996,2000,12,0.95,20260818
p_beats,holt_winters_add,switching,shock,0.33867735470941884,,,1996,2000,12,0.95,20260818
p_beats,holt_winters_add,switching_sticky,shock,0.12424849699398798,,,1996,2000,12,0.95,20260818
p_beats,holt_winters_add,theta,shock,0.06312625250501001,,,1996,2000,12,0.95,20260818
p_beats,naive,drift,shock,0.9208416833667334,,,1996,2000,12,0.95,20260818
p_beats,naive,holt_winters_add,shock,0.9338677354709419,,,1996,2000,12,0.95,20260818
p_beats,naive,sarima,shock,0.9023046092184369,,,1996,2000,12,0.95,20260818
p_beats,naive,sarimax_cal,shock,0.9033066132264529,,,1996,2000,12,0.95,20260818
p_beats,naive,seasonal_naive,shock,0.9534068136272545,,,1996,2000,12,0.95,20260818
p_beats,naive,switching,shock,0.9243486973947895,,,1996,2000,12,0.95,20260818
p_beats,naive,switching_sticky,shock,0.9173346693386774,,,1996,2000,12,0.95,20260818
p_beats,naive,theta,shock,0.9288577154308617,,,1996,2000,12,0.95,20260818
p_beats,sarima,drift,shock,0.09969939879759519,,,1996,2000,12,0.95,20260818
p_beats,sarima,holt_winters_add,shock,0.9804609218436874,,,1996,2000,12,0.95,20260818
p_beats,sarima,naive,shock,0.09769539078156313,,,1996,2000,12,0.95,20260818
p_beats,sarima,sarimax_cal,shock,0.8136272545090181,,,1996,2000,12,0.95,20260818
p_beats,sarima,seasonal_naive,shock,0.9619238476953907,,,1996,2000,12,0.95,20260818
p_beats,sarima,switching,shock,0.9504008016032064,,,1996,2000,12,0.95,20260818
p_beats,sarima,switching_sticky,shock,0.9524048096192385,,,1996,2000,12,0.95,20260818
p_beats,sarima,theta,shock,0.7374749498997996,,,1996,2000,12,0.95,20260818
p_beats,sarimax_cal,drift,shock,0.09969939879759519,,,1996,2000,12,0.95,20260818
p_beats,sarimax_cal,holt_winters_add,shock,0.9824649298597194,,,1996,2000,12,0.95,20260818
p_beats,sarimax_cal,naive,shock,0.0966933867735471,,,1996,2000,12,0.95,20260818
p_beats,sarimax_cal,sarima,shock,0.18637274549098196,,,1996,2000,12,0.95,20260818
p_beats,sarimax_cal,seasonal_naive,shock,0.9619238476953907,,,1996,2000,12,0.95,20260818
p_beats,sarimax_cal,switching,shock,0.9564128256513026,,,1996,2000,12,0.95,20260818
p_beats,sarimax_cal,switching_sticky,shock,0.9524048096192385,,,1996,2000,12,0.95,20260818
p_beats,sarimax_cal,theta,shock,0.7019038076152304,,,1996,2000,12,0.95,20260818
p_beats,seasonal_naive,drift,shock,0.04909819639278557,,,1996,2000,12,0.95,20260818
p_beats,seasonal_naive,holt_winters_add,shock,0.6923847695390781,,,1996,2000,12,0.95,20260818
p_beats,seasonal_naive,naive,shock,0.04659318637274549,,,1996,2000,12,0.95,20260818
p_beats,seasonal_naive,sarima,shock,0.03807615230460922,,,1996,2000,12,0.95,20260818
p_beats,seasonal_naive,sarimax_cal,shock,0.03807615230460922,,,1996,2000,12,0.95,20260818
p_beats,seasonal_naive,switching,shock,0.6317635270541082,,,1996,2000,12,0.95,20260818
p_beats,seasonal_naive,switching_sticky,shock,0.44939879759519036,,,1996,2000,12,0.95,20260818
p_beats,seasonal_naive,theta,shock,0.10220440881763528,,,1996,2000,12,0.95,20260818
p_beats,switching,drift,shock,0.07665330661322645,,,1996,2000,12,0.95,20260818
p_beats,switching,holt_winters_add,shock,0.655811623246493,,,1996,2000,12,0.95,20260818
p_beats,switching,naive,shock,0.07565130260521043,,,1996,2000,12,0.95,20260818
p_beats,switching,sarima,shock,0.04959919839679359,,,1996,2000,12,0.95,20260818
p_beats,switching,sarimax_cal,shock,0.0435871743486974,,,1996,2000,12,0.95,20260818
p_beats,switching,seasonal_naive,shock,0.3682364729458918,,,1996,2000,12,0.95,20260818
p_beats,switching,switching_sticky,shock,0.09619238476953908,,,1996,2000,12,0.95,20260818
p_beats,switching,theta,shock,0.08767535070140281,,,1996,2000,12,0.95,20260818
p_beats,switching_sticky,drift,shock,0.08366733466933868,,,1996,2000,12,0.95,20260818
p_beats,switching_sticky,holt_winters_add,shock,0.875751503006012,,,1996,2000,12,0.95,20260818
p_beats,switching_sticky,naive,shock,0.08266533066132264,,,1996,2000,12,0.95,20260818
p_beats,switching_sticky,sarima,shock,0.04759519038076152,,,1996,2000,12,0.95,20260818
p_beats,switching_sticky,sarimax_cal,shock,0.04759519038076152,,,1996,2000,12,0.95,20260818
p_beats,switching_sticky,seasonal_naive,shock,0.5506012024048096,,,1996,2000,12,0.95,20260818
p_beats,switching_sticky,switching,shock,0.9038076152304609,,,1996,2000,12,0.95,20260818
p_beats,switching_sticky,theta,shock,0.14128256513026052,,,1996,2000,12,0.95,20260818
p_beats,theta,drift,shock,0.07114228456913828,,,1996,2000,12,0.95,20260818
