month,festival_days,sharad_navratri_days,is_navratri_month,lunar_drift_days
1985-01-01,0,0,0,22.388499452732503
1985-02-01,1,0,0,22.31528907082975
1985-03-01,9,0,1,22.508577436674386
1985-04-01,0,0,0,23.145297104492784
1985-05-01,0,0,0,24.29302569339052
1985-06-01,0,0,0,25.88984354492277
1985-07-01,0,0,0,27.747797245159745
1985-08-01,1,0,0,29.597383014392108
1985-09-01,0,0,0,1.7846726798452437
1985-10-01,9,9,1,2.897146207280457
1985-11-01,1,0,0,3.4805211373604834
1985-12-01,0,0,0,3.649994395673275
1986-01-01,0,0,0,3.619533567223698
1986-02-01,0,0,0,3.6368682077154517
1986-03-01,1,0,0,3.925829080399126
1986-04-01,9,0,1,4.643610164523125
1986-05-01,0,0,0,5.846163537353277
1986-06-01,0,0,0,7.4619466587901115
1986-07-01,0,0,0,9.294662587344646
1986-08-01,1,0,0,11.074847956653684
1986-09-01,0,0,0,12.547667200677097
1986-10-01,9,9,1,13.556408101692796
1986-11-01,1,0,0,14.085055185481906
1986-12-01,0,0,0,14.25073883170262
1987-01-01,0,0,0,14.261815786361694
1987-02-01,1,0,0,14.36062248935923
1987-03-01,2,0,1,14.765978147741407
1987-04-01,7,0,1,15.622055840212852
1987-05-01,0,0,0,16.957520517054945
1987-06-01,0,0,0,18.665443802718073
1987-07-01,0,0,0,20.5215677106753
1987-08-01,1,0,0,22.248750802129507
1987-09-01,7,7,1,23.607713350094855
1987-10-01,3,2,1,24.474065237212926
1987-11-01,0,0,0,24.86795012233779
1987-12-01,0,0,0,24.932218915317208
1988-01-01,0,0,0,24.884182958863676
1988-02-01,1,0,0,24.966204275842756
1988-03-01,9,0,1,25.398811567109078
1988-04-01,0,0,0,26.329667144455016
1988-05-01,0,0,0,27.783348209690303
1988-06-01,0,0,0,0.1737010721117258
1988-07-01,0,0,0,2.099960470572114
1988-08-01,1,0,0,3.840746664442122
1988-09-01,0,0,0,5.158443744294345
1988-10-01,9,9,1,5.947271758224815
1988-11-01,1,0,0,6.24880730593577
1988-12-01,0,0,0,6.221146985888481
