date,festival_id,label,day_index,duration_days,lunar_month
1985-02-17,maha_shivaratri,Maha Shivaratri,1,1,magha
1985-03-22,chaitra_navratri,Chaitra Navratri (day 1),1,9,chaitra
1985-03-23,chaitra_navratri,Chaitra Navratri (day 1),2,9,chaitra
1985-03-24,chaitra_navratri,Chaitra Navratri (day 1),3,9,chaitra
1985-03-25,chaitra_navratri,Chaitra Navratri (day 1),4,9,chaitra
1985-03-26,chaitra_navratri,Chaitra Navratri (day 1),5,9,chaitra
1985-03-27,chaitra_navratri,Chaitra Navratri (day 1),6,9,chaitra
1985-03-28,chaitra_navratri,Chaitra Navratri (day 1),7,9,chaitra
1985-03-29,chaitra_navratri,Chaitra Navratri (day 1),8,9,chaitra
1985-03-30,chaitra_navratri,Chaitra Navratri (day 1),9,9,chaitra
1985-08-30,raksha_bandhan,Raksha Bandhan,1,1,shravana
1985-10-15,sharad_navratri,Sharad Navratri (day 1),1,9,ashvina
1985-10-16,sharad_navratri,Sharad Navratri (day 1),2,9,ashvina
1985-10-17,sharad_navratri,Sharad Navratri (day 1),3,9,ashvina
1985-10-18,sharad_navratri,Sharad Navratri (day 1),4,9,ashvina
1985-10-19,sharad_navratri,Sharad Navratri (day 1),5,9,ashvina
1985-10-20,sharad_navratri,Sharad Navratri (day 1),6,9,ashvina
1985-10-21,sharad_navratri,Sharad Navratri (day 1),7,9,ashvina
1985-10-22,sharad_navratri,Sharad Navratri (day 1),8,9,ashvina
1985-10-23,sharad_navratri,Sharad Navratri (day 1),9,9,ashvina
1985-11-12,diwali,Diwali (Lakshmi Puja),1,1,ashvina
1986-03-08,maha_shivaratri,Maha Shivaratri,1,1,magha
1986-04-10,chaitra_navratri,Chaitra Navratri (day 1),1,9,chaitra
1986-04-11,chaitra_navratri,Chaitra Navratri (day 1),2,9,chaitra
1986-04-12,chaitra_navratri,Chaitra Navratri (day 1),3,9,chaitra
1986-04-13,chaitra_navratri,Chaitra Navratri (day 1),4,9,chaitra
1986-04-14,chaitra_navratri,Chaitra Navratri (day 1),5,9,chaitra
1986-04-15,chaitra_navratri,Chaitra Navratri (day 1),6,9,chaitra
1986-04-16,chaitra_navratri,Chaitra Navratri (day 1),7,9,chaitra
1986-04-17,chaitra_navratri,Chaitra Navratri (day 1),8,9,chaitra
1986-04-18,chaitra_navratri,Chaitra Navratri (day 1),9,9,chaitra
1986-08-19,raksha_bandhan,Raksha Bandhan,1,1,shravana
1986-10-04,sharad_navratri,Sharad Navratri (day 1),1,9,ashvina
1986-10-05,sharad_navratri,Sharad Navratri (day 1),2,9,ashvina
1986-10-06,sharad_navratri,Sharad Navratri (day 1),3,9,ashvina
1986-10-07,sharad_navratri,Sharad Navratri (day 1),4,9,ashvina
1986-10-08,sharad_navratri,Sharad Navratri (day 1),5,9,ashvina
1986-10-09,sharad_navratri,Sharad Navratri (day 1),6,9,ashvina
1986-10-10,sharad_navratri,Sharad Navratri (day 1),7,9,ashvina
1986-10-11,sharad_navratri,Sharad Navratri (day 1),8,9,ashvina
1986-10-12,sharad_navratri,Sharad Navratri (day 1),9,9,ashvina
1986-11-01,diwali,Diwali (Lakshmi Puja),1,1,ashvina
1987-02-26,maha_shivaratri,Maha Shivaratri,1,1,magha
1987-03-30,chaitra_navratri,Chaitra Navratri (day 1),1,9,chaitra
1987-03-31,chaitra_navratri,Chaitra Navratri (day 1),2,9,chaitra
1987-04-01,chaitra_navratri,Chaitra Navratri (day 1),3,9,chaitra
1987-04-02,chaitra_navratri,Chaitra Navratri (day 1),4,9,chaitra
1987-04-03,chaitra_navratri,Chaitra Navratri (day 1),5,9,chaitra
1987-04-04,chaitra_navratri,Chaitra Navratri (day 1),6,9,chaitra
1987-04-05,chaitra_navratri,Chaitra Navratri (day 1),7,9,chaitra
1987-04-06,chaitra_navratri,Chaitra Navratri (day 1),8,9,chaitra
1987-04-07,chaitra_navratri,Chaitra Navratri (day 1),9,9,chaitra
1987-08-09,raksha_bandhan,Raksha Bandhan,1,1,shravana
1987-09-24,sharad_navratri,Sharad Navratri (day 1),1,9,ashvina
1987-09-25,sharad_navratri,Sharad Navratri (day 1),2,9,ashvina
1987-09-26,sharad_navratri,Sharad Navratri (day 1),3,9,ashvina
1987-09-27,sharad_navratri,Sharad Navratri (day 1),4,9,ashvina
1987-09-28,sharad_navratri,Sharad Navratri (day 1),5,9,ashvina
1987-09-29,sharad_navratri,Sharad Navratri (day 1),6,9,ashvina
1987-09-30,sharad_navratri,Sharad Navratri (day 1),7,9,ashvina
1987-10-01,sharad_navratri,Sharad Navratri (day 1),8,9,ashvina
1987-10-02,sharad_navratri,Sharad Navratri (day 1),9,9,ashvina
1987-10-22,diwali,Diwali (Lakshmi Puja),1,1,ashvina
1988-02-16,maha_shivaratri,Maha Shivaratri,1,1,magha
1988-03-18,chaitra_navratri,Chaitra Navratri (day 1),1,9,chaitra
1988-03-19,chaitra_navratri,Chaitra Navratri (day 1),2,9,chaitra
1988-03-20,chaitra_navratri,Chaitra Navratri (day 1),3,9,chaitra
1988-03-21,chaitra_navratri,Chaitra Navratri (day 1),4,9,chaitra
1988-03-22,chaitra_navratri,Chaitra Navratri (day 1),5,9,chaitra
1988-03-23,chaitra_navratri,Chaitra Navratri (day 1),6,9,chaitra
1988-03-24,chaitra_navratri,Chaitra Navratri (day 1),7,9,chaitra
1988-03-25,chaitra_navratri,Chaitra Navratri (day 1),8,9,chaitra
1988-03-26,chaitra_navratri,Chaitra Navratri (day 1),9,9,chaitra
1988-08-27,raksha_bandhan,Raksha Bandhan,1,1,shravana
1988-10-11,sharad_navratri,Sharad Navratri (day 1),1,9,ashvina
1988-10-12,sharad_navratri,Sharad Navratri (day 1),2,9,ashvina
1988-10-13,sharad_navratri,Sharad Navratri (day 1),3,9,ashvina
1988-10-14,sharad_navratri,Sharad Navratri (day 1),4,9,ashvina
1988-10-15,sharad_navratri,Sharad Navratri (day 1),5,9,ashvina
1988-10-16,sharad_navratri,Sharad Navratri (day 1),6,9,ashvina
1988-10-17,sharad_navratri,Sharad Navratri (day 1),7,9,ashvina
1988-10-18,sharad_navratri,Sharad Navratri (day 1),8,9,ashvina
1988-10-19,sharad_navratri,Sharad Navratri (day 1),9,9,ashvina
1988-11-09,diwali,Diwali (Lakshmi Puja),1,1,ashvina
1989-03-06,maha_shivaratri,Maha Shivaratri,1,1,magha
1989-04-06,chaitra_navratri,Chaitra Navratri (day 1),1,9,chaitra
1989-04-07,chaitra_navratri,Chaitra Navratri (day 1),2,9,chaitra
1989-04-08,chaitra_navratri,Chaitra Navratri (day 1),3,9,chaitra
1989-04-09,chaitra_navratri,Chaitra Navratri (day 1),4,9,chaitra
1989-04-10,chaitra_navratri,Chaitra Navratri (day 1),5,9,chaitra
1989-04-11,chaitra_navratri,Chaitra Navratri (day 1),6,9,chaitra
1989-04-12,chaitra_navratri,Chaitra Navratri (day 1),7,9,chaitra
1989-04-13,chaitra_navratri,Chaitra Navratri (day 1),8,9,chaitra
1989-04-14,chaitra_navratri,Chaitra Navratri (day 1),9,9,chaitra
1989-08-17,raksha_bandhan,Raksha Bandhan,1,1,shravana
1989-09-30,sharad_navratri,Sharad Navratri (day 1),1,9,ashvina
1989-10-01,sharad_navratri,Sharad Navratri (day 1),2,9,ashvina
