origin,target,horizon,model,actual,predicted,mase_scale,ae,se,smape,mase,regime,shock_window,config_hash,shocks_hash
1995-12,1996-01,1,drift,166958,299989.361345,40042.0092593,133031.361345,17697343101.2,56.9791682563,3.32229485497,clean,,f1310f570fef,3e176f06087d
1995-12,1996-02,2,drift,126209,302306.722689,40042.0092593,176097.722689,31010407936.3,82.189620294,4.39782433366,clean,,f1310f570fef,3e176f06087d
1995-12,1996-03,3,drift,378326,304624.084034,40042.0092593,73701.9159664,5431972417.12,21.5833975833,1.84061482752,clean,,f1310f570fef,3e176f06087d
1995-12,1996-04,4,drift,431689,306941.445378,40042.0092593,124747.554622,15561952384.1,33.7780700491,3.11541695658,clean,,f1310f570fef,3e176f06087d
1995-12,1996-05,5,drift,465033,309258.806723,40042.0092593,155774.193277,24265599291.2,40.2365598925,3.8902691488,clean,,f1310f570fef,3e176f06087d
1995-12,1996-06,6,drift,658538,311576.168067,40042.0092593,346961.831933,120382512818,71.5301030237,8.66494559967,clean,,f1310f570fef,3e176f06087d
1996-01,1996-02,1,drift,126209,168166.766667,40219.559633,41957.7666667,1760454183.65,28.506264046,1.04321795289,clean,,f1310f570fef,3e176f06087d
1996-01,1996-03,2,drift,378326,169375.533333,40219.559633,208950.466667,43660297520.2,76.3008514491,5.19524501445,clean,,f1310f570fef,3e176f06087d
1996-01,1996-04,3,drift,431689,170584.3,40219.559633,261104.7,68175664362.1,86.7063839622,6.49198306452,clean,,f1310f570fef,3e176f06087d
1996-01,1996-05,4,drift,465033,171793.066667,40219.559633,293239.933333,85989658501.3,92.0941992429,7.29097822077,clean,,f1310f570fef,3e176f06087d
1996-01,1996-06,5,drift,658538,173001.833333,40219.559633,485536.166667,235745369141,116.780013946,12.0721402993,clean,,f1310f570fef,3e176f06087d
1996-01,1996-07,6,drift,415325,174210.6,40219.559633,241114.4,58136153887.4,81.7980797088,5.99495375384,clean,,f1310f570fef,3e176f06087d
1996-02,1996-03,1,drift,378326,127071.008264,40184.5545455,251254.991736,63129070872,99.4287610045,6.25252648879,clean,,f1310f570fef,3e176f06087d
1996-02,1996-04,2,drift,431689,127933.016529,40184.5545455,303755.983471,92267697494.5,108.557552955,7.55902328412,clean,,f1310f570fef,3e176f06087d
1996-02,1996-05,3,drift,465033,128795.024793,40184.5545455,336237.975207,113055975971,113.244225994,8.36734359781,clean,,f1310f570fef,3e176f06087d
1996-02,1996-06,4,drift,658538,129657.033058,40184.5545455,528880.966942,279715077194,134.200532802,13.1612997313,clean,,f1310f570fef,3e176f06087d
1996-02,1996-07,5,drift,415325,130519.041322,40184.5545455,284805.958678,81114434098.3,104.354334615,7.08744844628,clean,,f1310f570fef,3e176f06087d
1996-02,1996-08,6,drift,396492,131381.049587,40184.5545455,265110.950413,70283816029,100.444965175,6.59733455832,clean,,f1310f570fef,3e176f06087d
1996-03,1996-04,1,drift,431689,381247.47541,40672.6576577,50441.5245902,2544347402.98,12.4097087819,1.24018265575,clean,,f1310f570fef,3e176f06087d
1996-03,1996-05,2,drift,465033,384168.95082,40672.6576577,80864.0491803,6538994449.84,19.0447158305,1.98816733003,clean,,f1310f570fef,3e176f06087d
1996-03,1996-06,3,drift,658538,387090.42623,40672.6576577,271447.57377,73683785305.9,51.9204656188,6.67395713492,clean,,f1310f570fef,3e176f06087d
1996-03,1996-07,4,drift,415325,390011.901639,40672.6576577,25313.0983607,640752948.616,6.28633763314,0.622361552415,clean,,f1310f570fef,3e176f06087d
1996-03,1996-08,5,drift,396492,392933.377049,40672.6576577,3558.62295082,12663797.3061,0.901572980621,0.0874942321393,clean,,f1310f570fef,3e176f06087d
1996-03,1996-09,6,drift,298788,395854.852459,40672.6576577,97066.852459,9421973846.3,27.9472687628,2.38653823106,clean,,f1310f570fef,3e176f06087d
1996-04,1996-05,1,drift,465033,435020.569106,40515.5714286,30012.4308943,900746008.186,6.66903213864,0.740762868104,clean,,f1310f570fef,3e176f06087d
1996-04,1996-06,2,drift,658538,438352.138211,40515.5714286,220185.861789,48481813731.6,40.1472953613,5.43459845252,clean,,f1310f570fef,3e176f06087d
1996-04,1996-07,3,drift,415325,441683.707317,40515.5714286,26358.7073171,694781451.427,6.15132777346,0.650582143795,clean,,f1310f570fef,3e176f06087d
1996-04,1996-08,4,drift,396492,445015.276423,40515.5714286,48523.2764228,2354508354.8,11.5324674622,1.19764512043,clean,,f1310f570fef,3e176f06087d
1996-04,1996-09,5,drift,298788,448346.845528,40515.5714286,149558.845528,22367848275.8,40.0353019066,3.69139173545,clean,,f1310f570fef,3e176f06087d
1996-04,1996-10,6,drift,419933,451678.414634,40515.5714286,31745.4146341,1007771350.29,7.28430447356,0.783536144618,clean,,f1310f570fef,3e176f06087d
1996-05,1996-06,1,drift,658538,468606.604839,40546.2743363,189931.395161,36073934867.9,33.7013359858,4.68431189475,clean,,f1310f570fef,3e176f06087d
1996-05,1996-07,2,drift,415325,472180.209677,40546.2743363,56855.2096774,3232514867.46,12.8123664081,1.40223018287,clean,,f1310f570fef,3e176f06087d
1996-05,1996-08,3,drift,396492,475753.814516,40546.2743363,79261.8145161,6282435240.39,18.1741919989,1.95484827678,clean,,f1310f570fef,3e176f06087d
1996-05,1996-09,4,drift,298788,479327.419355,40546.2743363,180539.419355,32594481941,46.4042775311,4.45267591931,clean,,f1310f570fef,3e176f06087d
1996-05,1996-10,5,drift,419933,482901.024194,40546.2743363,62968.0241935,3964972070.84,13.9489701332,1.5529916182,clean,,f1310f570fef,3e176f06087d
1996-05,1996-11,6,drift,323835,486474.629032,40546.2743363,162639.629032,26451648931.8,40.1425882663,4.01121019612,clean,,f1310f570fef,3e176f06087d
1996-06,1996-07,1,drift,415325,663631.056,40684.8157895,248306.056,61655897446.3,46.0270934334,6.10316284298,clean,,f1310f570fef,3e176f06087d
1996-06,1996-08,2,drift,396492,668724.112,40684.8157895,272232.112,74110322804,51.1130293531,6.69124602674,clean,,f1310f570fef,3e176f06087d
