arm,model,clean,shock,clean_rank,shock_rank
declared,sarimax_cal,1.3543625179130685,4.615563401119167,1,4
declared,sarima,1.3718957141519388,4.562327706281779,2,3
declared,holt_winters_add,1.4305426653701836,5.978923975263383,3,9
declared,switching,1.4351777040454061,5.870358468683953,4,8
declared,switching_sticky,1.5161914439933093,5.6244066398122925,5,6
declared,seasonal_naive,1.5203007694157407,5.723675437477597,6,7
declared,theta,1.9635070042833183,4.759723192271769,7,5
declared,naive,4.154579062225157,3.132577039091395,8,1
declared,drift,4.197226465209799,3.1468876000961687,9,2
refined,sarimax_cal,1.3801141936249044,4.660544078578241,1,4
refined,sarima,1.3969174259035522,4.608742598129452,2,3
refined,switching,1.466750786093291,5.980101825422725,3,9
refined,holt_winters_add,1.4740540169729468,5.9346867705944515,4,8
refined,switching_sticky,1.5314827894059972,5.9225804247276415,5,7
refined,seasonal_naive,1.5687060518578249,5.567389543259311,6,6
refined,theta,1.988611067707807,4.755701322542108,7,5
refined,naive,4.145078222425041,3.138630280051311,8,1
refined,drift,4.186935096921061,3.1605320120233666,9,2
